method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
baseline,0.8396,1.0000,1.0000,0.6556,fps videogames,3,20
baseline,0.8496,1.0000,1.0000,0.6726,god of war,5,20
baseline,0.9385,1.0000,1.0000,0.8389,mario games,8,20
baseline,0.9671,1.0000,1.0000,0.8951,minecraft,8,20
baseline,0.6480,1.0000,0.5000,0.4413,mmorpg,5,20
baseline,0.7179,1.0000,0.3333,0.6092,multiplayer games,7,20
baseline,0.9911,1.0000,1.0000,0.9683,need for speed,7,20
baseline,0.8504,1.0000,1.0000,0.6656,pc gaming,6,20
baseline,0.6228,1.0000,0.3333,0.4306,playstation games,5,20
baseline,1.0000,1.0000,1.0000,1.0000,pokemon,10,20
baseline,1.0000,1.0000,1.0000,1.0000,racing games,10,20
baseline,0.9709,1.0000,1.0000,0.9167,smash bros,4,20
baseline,0.7849,1.0000,0.5000,0.6917,survival games,6,20
baseline,0.5642,1.0000,0.3333,0.3694,survival horror videogames,3,20
baseline,1.0000,1.0000,1.0000,1.0000,the last of us,2,20
ner_enhanced,0.8603,1.0000,1.0000,0.6984,fps videogames,3,20
ner_enhanced,0.9193,1.0000,1.0000,0.7893,god of war,5,20
ner_enhanced,0.9918,1.0000,1.0000,0.9705,mario games,8,20
ner_enhanced,0.9748,1.0000,1.0000,0.9160,minecraft,8,20
ner_enhanced,0.4462,0.4000,1.0000,0.2500,mmorpg,5,20
ner_enhanced,0.5828,0.7143,0.5000,0.4131,multiplayer games,7,20
ner_enhanced,0.9731,1.0000,1.0000,0.9129,need for speed,7,20
ner_enhanced,0.9099,1.0000,1.0000,0.8179,pc gaming,6,20
ner_enhanced,0.3847,0.6000,0.3333,0.1905,playstation games,5,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,pokemon,10,20
ner_enhanced,0.7223,0.6000,1.0000,0.5857,racing games,10,20
ner_enhanced,0.9829,1.0000,1.0000,0.9500,smash bros,4,20
ner_enhanced,0.6106,0.5000,1.0000,0.4333,survival games,6,20
ner_enhanced,0.3236,0.6667,0.1667,0.1508,survival horror videogames,3,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,the last of us,2,20
reward_only,0.5401,1.0000,0.2500,0.3595,fps videogames,3,10
reward_only,0.6673,1.0000,0.5000,0.4768,god of war,5,10
reward_only,0.9716,1.0000,1.0000,0.9085,mario games,8,10
reward_only,0.9054,1.0000,1.0000,0.7972,minecraft,8,10
reward_only,0.8166,1.0000,1.0000,0.6089,mmorpg,5,10
reward_only,1.0000,1.0000,1.0000,1.0000,multiplayer games,7,10
reward_only,0.8712,1.0000,1.0000,0.7114,need for speed,7,10
reward_only,0.9784,1.0000,1.0000,0.9306,pc gaming,6,10
reward_only,0.9520,1.0000,1.0000,0.8600,playstation games,5,10
reward_only,1.0000,1.0000,1.0000,1.0000,pokemon,10,10
reward_only,1.0000,1.0000,1.0000,1.0000,racing games,10,10
reward_only,0.7612,1.0000,1.0000,0.5263,smash bros,4,10
reward_only,0.8491,1.0000,1.0000,0.6716,survival games,6,10
reward_only,0.9134,1.0000,1.0000,0.7917,survival horror videogames,3,10
reward_only,1.0000,1.0000,1.0000,1.0000,the last of us,2,10
rlhf,0.5116,1.0000,0.3333,0.2852,fps videogames,3,10
rlhf,0.9512,1.0000,1.0000,0.8767,god of war,5,10
rlhf,0.9918,1.0000,1.0000,0.9705,mario games,8,10
rlhf,0.9249,1.0000,1.0000,0.8073,minecraft,8,10
rlhf,0.8401,1.0000,1.0000,0.6422,mmorpg,5,10
rlhf,0.9619,1.0000,1.0000,0.8806,multiplayer games,7,10
rlhf,0.8553,1.0000,1.0000,0.7044,need for speed,7,10
rlhf,0.9784,1.0000,1.0000,0.9306,pc gaming,6,10
rlhf,0.7135,1.0000,0.5000,0.5444,playstation games,5,10
rlhf,1.0000,1.0000,1.0000,1.0000,pokemon,10,10
rlhf,1.0000,1.0000,1.0000,1.0000,racing games,10,10
rlhf,0.7980,1.0000,1.0000,0.5861,smash bros,4,10
rlhf,0.8541,1.0000,1.0000,0.7052,survival games,6,10
rlhf,0.5724,1.0000,0.3333,0.3778,survival horror videogames,3,10
rlhf,0.5714,1.0000,0.5000,0.3611,the last of us,2,10
full_hybrid,0.4716,1.0000,0.1667,0.2758,fps videogames,3,10
full_hybrid,0.6822,1.0000,0.5000,0.4968,god of war,5,10
full_hybrid,0.9430,1.0000,1.0000,0.8523,mario games,8,10
full_hybrid,0.9054,1.0000,1.0000,0.7972,minecraft,8,10
full_hybrid,0.3120,0.4000,0.5000,0.1400,mmorpg,5,10
full_hybrid,0.8105,0.7143,1.0000,0.7143,multiplayer games,7,10
full_hybrid,0.8712,1.0000,1.0000,0.7114,need for speed,7,10
full_hybrid,0.8932,1.0000,1.0000,0.7663,pc gaming,6,10
full_hybrid,0.6512,0.6000,1.0000,0.4600,playstation games,5,10
full_hybrid,1.0000,1.0000,1.0000,1.0000,pokemon,10,10
full_hybrid,0.6759,0.6000,1.0000,0.4864,racing games,10,10
full_hybrid,0.7612,1.0000,1.0000,0.5263,smash bros,4,10
full_hybrid,0.5414,0.5000,1.0000,0.3278,survival games,6,10
full_hybrid,0.6173,0.6667,1.0000,0.4167,survival horror videogames,3,10
full_hybrid,1.0000,1.0000,1.0000,1.0000,the last of us,2,10
